"","Species","Precipitation...seasonality..Bio15.","Temperature...annual.range..Bio07.","Potassium","Phosphorus","Nitrogen"
"1","Eucalyptus ebbanoensis",54.9911807504278,29.8967273797921,0.0313094209497076,0.0136517166492412,0.0277004502311543
"2","Eucalyptus dwyeri",19.5197678486611,29.9387951141866,-365.065322867015,0.017007034057848,0.0324518197537423
"3","Eucalyptus oleosa",33.5079523769239,26.4540362748018,-331.174025696088,-132.809584319612,-179.763252067279
"4","Eucalyptus blakelyi",24.7092988637583,28.7359383251672,-362.677232706942,-16.044564349749,-45.6185621302801
"5","Eucalyptus yalatensis",38.4374887051207,23.3687665875213,-437.100020432417,-0.686054342271398,-0.686270503645605
"6","Corymbia calophylla",71.4518148586232,23.1252334989175,-61.8025613888175,-23.0435165712543,-22.9495047047254
"7","Eucalyptus amplifolia",35.216093489725,24.6131305326554,-98.0643353355859,-43.7488118306305,-50.2067275168381
"8","Eucalyptus talyuberlup",42.4527372339943,19.317217497572,0.677703362963636,0.656056776227273,0.673838375445455
"9","Corymbia ficifolia",58.3672030548317,17.3924049212752,0.0397725,0.015864125,0.040692875
"10","Eucalyptus dealbata",25.8262418652782,29.4489099891862,-327.119280591586,-14.8084591164219,-36.3132003879199
"11","Eucalyptus cneorifolia",57.714669882265,16.9526669103252,-234.016001320228,-234.063891114592,-234.04637944
"12","Eucalyptus paludicola",55.0867081926592,18.9265074751994,0.05980318849411,0.0200248459824721,0.0388610552831206
"13","Eucalyptus cladocalyx",51.5216618752436,21.6703727840741,-202.444984237872,9.93656062072757,9.08974560330219
"14","Eucalyptus laeliae",79.4620689655172,24.5769552860932,0.059745698991453,0.0221220094700855,0.0558063680512821
"15","Eucalyptus eudesmioides",73.4440759352881,28.0723938492682,-82.5913577461192,-82.0078439725483,-81.9913512572082
"16","Eucalyptus morrisii",18.8998754669988,30.6202553667793,-2147.92951958333,0.0136979025361552,0.0241903713386243
"17","Eucalyptus burdettiana",33,20.6333333333333,NA,NA,NA
"18","Eucalyptus cornuta",53.0794863216252,18.895834064199,-5.59646115314653,-5.61903408311129,-5.6010301759641
"19","Eucalyptus lehmannii",38.7136615165461,20.0899438417708,-13.0354794003529,-13.0547421079657,-13.0436022812843
"20","Eucalyptus flindersii",24.2110581303228,29.990404758368,NA,0.0189930013555556,0.0230306441333333
"21","Eucalyptus gomphocephala",83.521293023616,21.4277204119945,-1125.00801589693,-1125.05851092993,-1125.00656493727
"22","Eucalyptus vicina",16.4964387464387,30.1827397910731,-281.728239790362,0.0169264790952381,0.0282355668419244
"23","Eucalyptus squamosa",31.3693386808233,23.7727114432927,-576.690653514405,0.0319136781309524,0.0903886951547619
"24","Eucalyptus gittinsii",77.777208109351,27.0556534735106,0.0294471304209559,0.0128850662408088,0.0326566845018382
"25","Eucalyptus glaucina",40.902935605062,25.7328638502825,0.0895877795718427,0.0287776949271064,0.0978044649230529
"26","Eucalyptus extrica",41.125390625,20.8437890625,-1.26891173076923,-1.29162557692308,-1.28076211538462
"27","Eucalyptus diversicolor",61.281294988846,19.0157862772591,-1.20596984083333,-1.17430859334921,-1.14975745634921
"28","Corymbia haematoxylon",80.3925336279361,23.1815465183252,0.0478703983515873,0.0206811783214286,0.0528241102880952
"29","Eucalyptus conferruminata",46.8805951666667,18.161101225,-7.238568536,-7.259444408,-7.24518398
"30","Eucalyptus megacornuta",26.805595068753,23.0437123213439,0.02874,0.013794,0.021764
"31","Eucalyptus accedens",73.741366921245,27.3323540280857,-73.4452422217299,-73.465533624957,-73.4454930450366
"32","Eucalyptus erythrocorys",85.4147058823529,25.231339872549,-56.6135665625,-56.6296433333333,-56.60757425
"33","Eucalyptus roycei",84.8172380952381,25.5333333333333,NA,NA,NA
"34","Eucalyptus newbeyi",38.8571428571429,18.7785711428571,0.030213,0.012886,0.02317
"35","Eucalyptus jucunda",73.3272970984676,28.4081464034351,4.696927814975,4.680522472175,4.6955526400875
"36","Eucalyptus pumila",33.9055555555556,24.3161111111111,0.0818710613846154,0.0317946976923077,0.0417516675384615
"37","Eucalyptus conveniens",78.5678571428572,27.272619047619,0.0300750170166667,0.0123290234166667,0.0331584232666667
"38","Eucalyptus zopherophloia",79.339285625,26.086607125,-41.3631934285714,-41.3785168571429,-41.3584557142857
"39","Eucalyptus nandewarica",26.4079861111111,29.4910300925926,0.0479716485625,0.0136154970625,0.05918585125
"40","Eucalyptus pruiniramis",71.875,28.5875,0.028058976875,0.01256540875,0.033157710875
